Genome ID	Source ID	Source	Host	Function	Reference Name	Reference Accession	Reference Phylum	Reference Order	Reference Genus	Reference Name	CheckM Marker lineage	CheckM genomes	CheckM markers	Completeness	Contamination	Strain heterogeneity	QS	gtdb classification	gtdb Phylum	closest_genome_reference	closest_genome_reference_radius	closest_genome_ani	closest_placement_reference	classification_method	note
GISB1945	2052159.227	Public Database	Embiratermes neotenicus	None	Coriobacteriia bacterium strain Emb289P4bin29	GCA_009781115.1	Actinomycetota	None	None	Coriobacteriia bacterium strain Emb289P4bin29	p__Actinobacteria (UID1454)	732	206	83.58	1.04	100	78.38	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__WRKU01;f__WQUG01;g__WQUG01;s__WQUG01 sp009781115	p__Actinomycetota	GCA_009781115.1	95	100	GCA_009781115.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1946	2052159.228	Public Database	Embiratermes neotenicus	None	Coriobacteriia bacterium strain Emb289P3bin63	GCA_009781525.1	Actinomycetota	None	None	Coriobacteriia bacterium strain Emb289P3bin63	p__Actinobacteria (UID2112)	31	211	83.27	1.88	100	73.87	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__UBA8131;g__WQXZ01;s__WQXZ01 sp009781525	p__Actinomycetota	GCA_009781525.1	95	100	GCA_009781525.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1947	2052159.229	Public Database	Embiratermes neotenicus	None	Coriobacteriia bacterium strain Emb289P3bin57	GCA_009781535.1	Actinomycetota	None	None	Coriobacteriia bacterium strain Emb289P3bin57	p__Actinobacteria (UID2112)	31	211	76.96	1.88	33.33	67.56	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__UBA8131;g__WRHU01;s__WRHU01 sp009781535	p__Actinomycetota	GCA_009781535.1	95	100	GCA_009781535.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1948	2052159.23	Public Database	Neocapritermes taracua	None	Coriobacteriia bacterium strain Nt197P3bin131	GCA_009783085.1	Actinomycetota	None	None	Coriobacteriia bacterium strain Nt197P3bin131	p__Actinobacteria (UID2112)	31	211	95.36	0	0	95.36	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__UBA8131;g__WRHU01;s__WRHU01 sp009783085	p__Actinomycetota	GCA_009783085.1	95	100	GCA_009783085.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1949	2052159.231	Public Database	Neocapritermes taracua	None	Coriobacteriia bacterium strain Nt197P3bin113	GCA_009783245.1	Actinomycetota	None	None	Coriobacteriia bacterium strain Nt197P3bin113	p__Actinobacteria (UID2112)	31	211	81.18	0.81	100	77.13	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__UBA8131;g__WRHL01;s__WRHL01 sp009783245	p__Actinomycetota	GCA_009783245.1	95	100	GCA_009783245.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1950	2052159.232	Public Database	Labiotermes labralis	None	Coriobacteriia bacterium strain Lab288P3bin21	GCA_009784095.1	Actinomycetota	None	None	Coriobacteriia bacterium strain Lab288P3bin21	p__Actinobacteria (UID1454)	732	206	86.25	5.08	83.33	60.85	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__WRKU01;f__WRKU01;g__WRDL01;s__WRDL01 sp009784095	p__Actinomycetota	GCA_009784095.1	95	100	GCA_009784095.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1951	2052159.233	Public Database	Labiotermes labralis	None	Coriobacteriia bacterium strain Lab288P3bin107	GCA_009784245.1	Actinomycetota	None	None	Coriobacteriia bacterium strain Lab288P3bin107	p__Actinobacteria (UID1454)	732	206	72	0	0	72	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__WRKU01;f__WQUG01;g__WRBW01;s__WRBW01 sp009784345	p__Actinomycetota	GCA_009784345.1	95	99.74	GCA_009784345.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1952	2052159.234	Public Database	Labiotermes labralis	None	Coriobacteriia bacterium strain Lab288P3bin101	GCA_009784265.1	Actinomycetota	None	None	Coriobacteriia bacterium strain Lab288P3bin101	p__Actinobacteria (UID1454)	732	206	68.82	7.58	42.86	30.92	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__WRKU01;f__WQUG01;g__WRBW01;s__WRBW01 sp009779855	p__Actinomycetota	GCA_009779855.1	95	99.96	GCA_009779855.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1953	2052159.235	Public Database	Labiotermes labralis	None	Coriobacteriia bacterium strain Lab288P1bin96	GCA_009784345.1	Actinomycetota	None	None	Coriobacteriia bacterium strain Lab288P1bin96	p__Actinobacteria (UID1454)	732	206	85.5	2.08	66.67	75.1	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__WRKU01;f__WQUG01;g__WRBW01;s__WRBW01 sp009784345	p__Actinomycetota	GCA_009784345.1	95	100	GCA_009784345.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1954	2052159.236	Public Database	Labiotermes labralis	None	Coriobacteriia bacterium strain Lab288P1bin85	GCA_009784425.1	Actinomycetota	None	None	Coriobacteriia bacterium strain Lab288P1bin85	p__Actinobacteria (UID2112)	31	211	90.99	2.24	80	79.79	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__UBA8131;g__WQXH01;s__WQXH01 sp009784425	p__Actinomycetota	GCA_009784425.1	95	100	GCA_009784425.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1955	2052159.237	Public Database	Embiratermes neotenicus	None	Coriobacteriia bacterium strain Emb289P3bin142	GCA_009784945.1	Actinomycetota	None	None	Coriobacteriia bacterium strain Emb289P3bin142	p__Actinobacteria (UID2112)	31	211	93.55	1.08	0	88.15	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__UBA8131;g__WQXH01;s__WQXH01 sp009784945	p__Actinomycetota	GCA_009784945.1	95	100	GCA_009784945.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1956	2052159.238	Public Database	Embiratermes neotenicus	None	Coriobacteriia bacterium strain Emb289P1bin68	GCA_009785405.1	Actinomycetota	None	None	Coriobacteriia bacterium strain Emb289P1bin68	k__Bacteria (UID203)	5449	104	98.28	4.08	64.71	77.88	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__WRKU01;f__WQUG01;g__WRBW01;s__WRBW01 sp009779855	p__Actinomycetota	GCA_009779855.1	95	99.48	GCA_009779855.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1957	2052159.239	Public Database	Embiratermes neotenicus	None	Coriobacteriia bacterium strain Emb289P1bin4	GCA_009785705.1	Actinomycetota	None	None	Coriobacteriia bacterium strain Emb289P1bin4	p__Actinobacteria (UID1454)	732	206	79.69	2.85	85.71	65.44	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__WRKU01;f__WQUG01;g__WRBW01;s__WRBW01 sp009785705	p__Actinomycetota	GCA_009785705.1	95	100	GCA_009785705.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1958	2052159.24	Public Database	Embiratermes neotenicus	None	Coriobacteriia bacterium strain Emb289P1bin20	GCA_009785795.1	Actinomycetota	None	None	Coriobacteriia bacterium strain Emb289P1bin20	k__Bacteria (UID203)	5449	104	68.97	0	0	68.97	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__WRKU01;f__WQUG01;g__WQVN01;s__WQVN01 sp009785795	p__Actinomycetota	GCA_009785795.1	95	100	GCA_009785795.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1959	2052165.7	Public Database	Neocapritermes taracua	None	Holophagaceae bacterium strain Nt197P3bin31	GCA_009782855.1	Acidobacteriota	Holophagales	None	Holophagaceae bacterium strain Nt197P3bin31	k__Bacteria (UID3187)	2258	185	67.06	8.33	15.38	25.41	d__Bacteria;p__Acidobacteriota;c__Holophagae;o__Holophagales;f__Holophagaceae;g__WRHW01;s__	p__Acidobacteriota	None	None	None	None	taxonomic classification fully defined by topology	classification based on placement in class-level tree
GISB1960	2052165.8	Public Database	Neocapritermes taracua	None	Holophagaceae bacterium strain Nt197P3bin133	GCA_009783055.1	Acidobacteriota	Holophagales	None	Holophagaceae bacterium strain Nt197P3bin133	k__Bacteria (UID3187)	2258	188	89.26	7.69	18.18	50.81	d__Bacteria;p__Acidobacteriota;c__Holophagae;o__Holophagales;f__Holophagaceae;g__WRHW01;s__WRHW01 sp009783055	p__Acidobacteriota	GCA_009783055.1	95	100	GCA_009783055.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1961	2052168.1	Public Database	Termes hospes	None	Methanomassiliicoccaceae archaeon strain Th196P4bin35	GCA_009776655.1	Candidatus Thermoplasmatota	Methanomassiliicoccales	None	Methanomassiliicoccaceae archaeon strain Th196P4bin35	p__Euryarchaeota (UID3)	148	187	53.16	1.61	0	45.11	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__Methanoplasma;s__Methanoplasma sp009777615	p__Thermoplasmatota	GCA_009777615.1	95	99.63	GCA_009777615.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1962	2052168.11	Public Database	Termes hospes	None	Methanomassiliicoccaceae archaeon strain Th196P4bin4	GCA_009776625.1	Candidatus Thermoplasmatota	Methanomassiliicoccales	None	Methanomassiliicoccaceae archaeon strain Th196P4bin4	p__Euryarchaeota (UID3)	148	187	88.04	4.84	100	63.84	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__Methanoplasma;s__Methanoplasma sp009776625	p__Thermoplasmatota	GCA_009776625.1	95	100	GCA_009776625.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1963	2052168.12	Public Database	Termes hospes	None	Methanomassiliicoccaceae archaeon strain Th196P4bin34	GCA_009776695.1	Candidatus Thermoplasmatota	Methanomassiliicoccales	None	Methanomassiliicoccaceae archaeon strain Th196P4bin34	p__Euryarchaeota (UID3)	148	187	86.69	5.3	100	60.19	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__WRKA01;s__WRKA01 sp009776695	p__Thermoplasmatota	GCA_009776695.1	95	100	GCA_009776695.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1964	2052168.13	Public Database	Termes hospes	None	Methanomassiliicoccaceae archaeon strain Th196P3bin2	GCA_009777615.1	Candidatus Thermoplasmatota	Methanomassiliicoccales	None	Methanomassiliicoccaceae archaeon strain Th196P3bin2	p__Euryarchaeota (UID3)	148	187	97.98	2.42	0	85.88	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__Methanoplasma;s__Methanoplasma sp009777615	p__Thermoplasmatota	GCA_009777615.1	95	100	GCA_009777615.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1965	2052168.14	Public Database	Neocapritermes taracua	None	Methanomassiliicoccaceae archaeon strain Nt197P4bin30	GCA_009778265.1	Candidatus Thermoplasmatota	Methanomassiliicoccales	None	Methanomassiliicoccaceae archaeon strain Nt197P4bin30	p__Euryarchaeota (UID3)	148	187	59.49	0.81	100	55.44	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__WRKA01;s__WRKA01 sp009778265	p__Thermoplasmatota	GCA_009778265.1	95	100	GCA_009778265.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1966	2052168.15	Public Database	Neocapritermes taracua	None	Methanomassiliicoccaceae archaeon strain Nt197P4bin4	GCA_009778275.1	Candidatus Thermoplasmatota	Methanomassiliicoccales	None	Methanomassiliicoccaceae archaeon strain Nt197P4bin4	p__Euryarchaeota (UID3)	148	187	74.46	0.85	100	70.21	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__Methanoplasma;s__Methanoplasma sp009778275	p__Thermoplasmatota	GCA_009778275.1	95	100	GCA_009778275.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1967	2052168.16	Public Database	Neocapritermes taracua	None	Methanomassiliicoccaceae archaeon strain Nt197P3bin8	GCA_009778575.1	Candidatus Thermoplasmatota	Methanomassiliicoccales	None	Methanomassiliicoccaceae archaeon strain Nt197P3bin8	p__Euryarchaeota (UID3)	148	187	93.82	0.81	0	89.77	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__Methanoplasma;s__Methanoplasma sp009778575	p__Thermoplasmatota	GCA_009778575.1	95	100	GCA_009778575.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1968	2052168.17	Public Database	Labiotermes labralis	None	Methanomassiliicoccaceae archaeon strain Lab288P4bin70	GCA_009778825.1	Candidatus Thermoplasmatota	Methanomassiliicoccales	None	Methanomassiliicoccaceae archaeon strain Lab288P4bin70	p__Euryarchaeota (UID3)	148	187	52.29	0	0	52.29	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__WRKA01;s__	p__Thermoplasmatota	None	None	None	None	taxonomic classification fully defined by topology	None
GISB1969	2052168.18	Public Database	Labiotermes labralis	None	Methanomassiliicoccaceae archaeon strain Lab288P3bin64	GCA_009779465.1	Candidatus Thermoplasmatota	Methanomassiliicoccales	None	Methanomassiliicoccaceae archaeon strain Lab288P3bin64	p__Euryarchaeota (UID3)	148	187	68.44	9.14	35.71	22.74	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__Methanoplasma;s__	p__Thermoplasmatota	None	None	None	None	taxonomic classification fully defined by topology	None
GISB1970	2052168.19	Public Database	Labiotermes labralis	None	Methanomassiliicoccaceae archaeon strain Lab288P1bin114	GCA_009780575.1	Candidatus Thermoplasmatota	Methanomassiliicoccales	None	Methanomassiliicoccaceae archaeon strain Lab288P1bin114	p__Euryarchaeota (UID3)	148	187	94.76	0.81	0	90.71	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__WRKA01;s__WRKA01 sp009780575	p__Thermoplasmatota	GCA_009780575.1	95	100	GCA_009780575.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1971	2052168.2	Public Database	Labiotermes labralis	None	Methanomassiliicoccaceae archaeon strain Lab288P1bin1	GCA_009780795.1	Candidatus Thermoplasmatota	Methanomassiliicoccales	None	Methanomassiliicoccaceae archaeon strain Lab288P1bin1	p__Euryarchaeota (UID3)	148	187	89.47	0	0	89.47	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__WRKA01;s__WRKA01 sp009780795	p__Thermoplasmatota	GCA_009780795.1	95	100	GCA_009780795.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1972	2052168.21	Public Database	Neocapritermes taracua	None	Methanomassiliicoccaceae archaeon strain Nt197P3bin45	GCA_009782705.1	Candidatus Thermoplasmatota	Methanomassiliicoccales	None	Methanomassiliicoccaceae archaeon strain Nt197P3bin45	p__Euryarchaeota (UID3)	148	187	57.8	1.92	71.43	48.2	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__WRKA01;s__	p__Thermoplasmatota	None	None	None	GCA_009778265.1	taxonomic classification defined by topology and ANI	None
GISB1973	2052168.22	Public Database	Embiratermes neotenicus	None	Methanomassiliicoccaceae archaeon strain Emb289P3bin41	GCA_009784745.1	Candidatus Thermoplasmatota	Methanomassiliicoccales	None	Methanomassiliicoccaceae archaeon strain Emb289P3bin41	p__Euryarchaeota (UID3)	148	187	91.74	5.65	28.57	63.49	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__WRKA01;s__WRKA01 sp009784745	p__Thermoplasmatota	GCA_009784745.1	95	100	GCA_009784745.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1974	2052168.24	Public Database	Cornitermes sp.	None	Methanomassiliicoccaceae archaeon strain Co191P4bin17	GCA_009786295.1	Candidatus Thermoplasmatota	Methanomassiliicoccales	None	Methanomassiliicoccaceae archaeon strain Co191P4bin17	p__Euryarchaeota (UID3)	148	187	77.9	1.67	33.33	69.55	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__Methanoplasma;s__Methanoplasma sp009786295	p__Thermoplasmatota	GCA_009786295.1	95	100	GCA_009786295.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1975	2052179.17	Public Database	Neocapritermes taracua	None	Peptococcaceae bacterium strain Nt197P3bin79	GCA_009778595.1	Bacillota	Eubacteriales	None	Peptococcaceae bacterium strain Nt197P3bin79	c__Clostridia (UID1085)	35	420	92.19	0.82	0	88.09	d__Bacteria;p__Bacillota_B;c__Desulfitobacteriia;o__Desulfitobacteriales;f__Syntrophobotulaceae;g__WRJI01;s__WRJI01 sp009778595	p__Bacillota_B	GCA_009778595.1	95	100	GCA_009778595.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1976	2052179.18	Public Database	Neocapritermes taracua	None	Peptococcaceae bacterium strain Nt197P3bin37	GCA_009782825.1	Bacillota	Eubacteriales	None	Peptococcaceae bacterium strain Nt197P3bin37	c__Clostridia (UID1085)	35	420	94.94	1.21	0	88.89	d__Bacteria;p__Bacillota_B;c__Desulfitobacteriia;o__Desulfitobacteriales;f__Syntrophobotulaceae;g__WRJI01;s__WRJI01 sp009782825	p__Bacillota_B	GCA_009782825.1	95	100	GCA_009782825.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1977	2052179.19	Public Database	Neocapritermes taracua	None	Peptococcaceae bacterium strain Nt197P3bin107	GCA_009783315.1	Bacillota	Eubacteriales	None	Peptococcaceae bacterium strain Nt197P3bin107	c__Clostridia (UID1085)	35	420	94.09	1.85	11.11	84.84	d__Bacteria;p__Bacillota_B;c__Desulfitobacteriia;o__Desulfitobacteriales;f__Syntrophobotulaceae;g__WRJI01;s__WRJI01 sp009783315	p__Bacillota_B	GCA_009783315.1	95	100	GCA_009783315.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1978	2052179.2	Public Database	Embiratermes neotenicus	None	Peptococcaceae bacterium strain Emb289P3bin133	GCA_009785075.1	Bacillota	Eubacteriales	None	Peptococcaceae bacterium strain Emb289P3bin133	p__Firmicutes (UID1022)	100	295	54.83	1.58	33.33	46.93	d__Bacteria;p__Bacillota_B;c__Desulfotomaculia;o__Desulfotomaculales;f__Pelotomaculaceae;g__Pelotomaculum_D;s__	p__Bacillota_B	None	None	None	None	taxonomic novelty determined using RED	classification based on placement in class-level tree
GISB1979	2052180.6	Public Database	Embiratermes neotenicus	None	Phycisphaerales bacterium strain Emb289P4bin17	GCA_009781185.1	Planctomycetota	Phycisphaerales	None	Phycisphaerales bacterium strain Emb289P4bin17	k__Bacteria (UID2565)	2921	143	91.48	1.14	0	85.78	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__WQYP01;f__WQYP01;g__WQYP01;s__WQYP01 sp009781185	p__Planctomycetota	GCA_009781185.1	95	100	GCA_009781185.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1980	2052180.61	Public Database	Embiratermes neotenicus	None	Phycisphaerales bacterium strain Emb289P3bin83	GCA_009781335.1	Planctomycetota	Phycisphaerales	None	Phycisphaerales bacterium strain Emb289P3bin83	k__Bacteria (UID2565)	2921	143	50.99	2.27	0	39.64	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__WQYP01;f__WQYP01;g__WQYP01;s__	p__Planctomycetota	None	None	None	None	taxonomic classification fully defined by topology	classification based on placement in class-level tree
GISB1981	2052184.65	Public Database	Labiotermes labralis	None	Syntrophaceae bacterium strain Lab288P3bin216	GCA_009779815.1	Thermodesulfobacteriota	Syntrophales	None	Syntrophaceae bacterium strain Lab288P3bin216	c__Deltaproteobacteria (UID3216)	83	247	59.81	2.08	14.29	49.41	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__UBA5619;g__JAKAFS01;s__	p__Desulfobacterota	None	None	None	None	taxonomic classification fully defined by topology	classification based on placement in class-level tree
GISB1982	2053574.5	Public Database	Termes hospes	None	Marinilabiliaceae bacterium strain Th196P3bin71	GCA_009777175.1	Bacteroidota	Marinilabiliales	None	Marinilabiliaceae bacterium strain Th196P3bin71	k__Bacteria (UID2569)	434	275	78.8	2.45	0	66.55	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinilabiliaceae;g__WRMI01;s__WRMI01 sp009777175	p__Bacteroidota	GCA_009777175.1	95	100	GCA_009777175.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1983	2053594.19	Public Database	Neocapritermes taracua	None	Prolixibacteraceae bacterium strain Nt197P3bin50	GCA_009782655.1	Bacteroidota	Marinilabiliales	None	Prolixibacteraceae bacterium strain Nt197P3bin50	k__Bacteria (UID203)	5449	104	58.62	1.72	0	50.02	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prolixibacteraceae;g__UBA1413;s__UBA1413 sp009782655	p__Bacteroidota	GCA_009782655.1	95	100	GCA_009782655.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1984	2053624.13	Public Database	Termes hospes	None	Synergistaceae bacterium strain Th196P4bin51	GCA_009776565.1	Synergistota	Synergistales	None	Synergistaceae bacterium strain Th196P4bin51	k__Bacteria (UID209)	5443	105	67.18	1.69	50	58.73	d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Aminobacteriaceae;g__WRNQ01;s__WRNQ01 sp009776565	p__Synergistota	GCA_009776565.1	95	100	GCA_009776565.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1985	2053624.14	Public Database	Termes hospes	None	Synergistaceae bacterium strain Th196P3bin106	GCA_009778055.1	Synergistota	Synergistales	None	Synergistaceae bacterium strain Th196P3bin106	k__Bacteria (UID209)	5443	105	84.75	3.47	25	67.4	d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Aminobacteriaceae;g__WRKN01;s__WRKN01 sp009778055	p__Synergistota	GCA_009778055.1	95	100	GCA_009778055.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1986	2053624.15	Public Database	Neocapritermes taracua	None	Synergistaceae bacterium strain Nt197P3bin25	GCA_009782925.1	Synergistota	Synergistales	None	Synergistaceae bacterium strain Nt197P3bin25	k__Bacteria (UID209)	5443	105	62.17	0.15	100	61.42	d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Aminobacteriaceae;g__WRNQ01;s__	p__Synergistota	None	None	None	None	taxonomic classification fully defined by topology	classification based on placement in class-level tree
GISB1987	2053624.16	Public Database	Neocapritermes taracua	None	Synergistaceae bacterium strain Nt197P3bin106	GCA_009783355.1	Synergistota	Synergistales	None	Synergistaceae bacterium strain Nt197P3bin106	k__Bacteria (UID209)	5443	105	74.58	3.67	20	56.23	d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Aminobacteriaceae;g__WRNQ01;s__WRNQ01 sp009783355	p__Synergistota	GCA_009783355.1	95	100	GCA_009783355.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1988	2053624.17	Public Database	Labiotermes labralis	None	Synergistaceae bacterium strain Lab288P3bin114	GCA_009784195.1	Synergistota	Synergistales	None	Synergistaceae bacterium strain Lab288P3bin114	k__Bacteria (UID209)	5443	105	59.83	7.7	18.18	21.33	d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Synergistaceae;g__JAIRKI01;s__	p__Synergistota	None	None	None	None	taxonomic classification fully defined by topology	classification based on placement in class-level tree
GISB1989	2053624.18	Public Database	Labiotermes labralis	None	Synergistaceae bacterium strain Lab288P3bin103	GCA_009784305.1	Synergistota	Synergistales	None	Synergistaceae bacterium strain Lab288P3bin103	k__Bacteria (UID209)	5443	105	71.42	0	0	71.42	d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Aminobacteriaceae;g__WRNQ01;s__WRNQ01 sp009784305	p__Synergistota	GCA_009784305.1	95	100	GCA_009784305.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1990	2067395.3	Public Database	Anopheles gambiae	None	Asaia sp. W19	GCA_003994335.1	Pseudomonadota	Rhodospirillales	Asaia	Asaia sp. W19	o__Rhodospirillales (UID3754)	63	336	99	9	100	54	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Asaia;s__Asaia sp003994335	p__Pseudomonadota	GCF_003994335.1	95	100	GCF_003994335.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1991	2069346.3	Public Database	Apis mellifera	None	Lactobacillus sp. ESL0259	GCA_003693045.1	Bacillota	Lactobacillales	Lactobacillus	Lactobacillus sp. ESL0259	g__Lactobacillus (UID377)	91	430	97.4	1.7	0	88.9	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus melliventris	p__Bacillota	GCF_026185255.2	95	96.97	None	taxonomic classification defined by topology and ANI	topological placement and ANI have incongruent species assignments
GISB1992	2069347.3	Public Database	Apis mellifera	None	Lactobacillus sp. ESL0260	GCA_003692935.1	Bacillota	Lactobacillales	Lactobacillus	Lactobacillus sp. ESL0260	g__Lactobacillus (UID377)	91	430	97.4	1.08	80	92	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus melliventris	p__Bacillota	GCF_026185255.2	95	96.9	GCF_026185255.2	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1993	2069348.3	Public Database	Apis mellifera	None	Lactobacillus sp. ESL0261	GCA_003693025.1	Bacillota	Lactobacillales	Lactobacillus	Lactobacillus sp. ESL0261	g__Lactobacillus (UID377)	91	430	97.4	0.87	0	93.05	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus kullabergensis	p__Bacillota	GCF_000967195.1	95	96.17	GCF_000967195.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1994	2069349.3	Public Database	Apis mellifera	None	Lactobacillus sp. ESL0262	GCA_003692925.1	Bacillota	Lactobacillales	Lactobacillus	Lactobacillus sp. ESL0262	g__Lactobacillus (UID377)	91	430	97.73	1.14	0	92.03	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus helsingborgensis	p__Bacillota	GCF_026428255.1	95	97.79	GCF_026428255.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
